features	pron	subj	arity
▯ has the nature of resembles has traits that are typical of ▯ ▯ is ▯ ish y _BIAS _RAKU_aı _ARITY_2	tá	sF	2
▯ smacks of ▯ ▯ vibes like a ▯ ▯ has the vibe of ▯ _BIAS _RAKU_'aı _2_RAKU_aı'aı _ARITY_2	tá	sF	2
▯ is ▯ ish ▯ is tenuously related to ▯ _BIAS _RAKU_'aı _2_RAKU_aı'aı _ARITY_2	tá	sF	2
▯ is the letter aı _BIAS _RAKU_pu _2_RAKU_'aıpu _ARITY_1	hóq	sF	1
▯ does societally unacceptable or improper behaviour ▯ ▯ goes against societal norms by doing ▯ _BIAS _RAKU_bı _2_RAKU_aıbı _ARITY_2	hó	sA	2
▯ experiences punishment reward deserved outcome of satisfying property ▯ is served right by property ▯ ▯ suffers an appropriate conclusion positive be it or negative but definitely karmatic for their deeds in satisfying property ▯ _BIAS _RAKU_ca _2_RAKU_aıca _ARITY_2	hó	sI	2
▯ alieves that ▯ is the case _BIAS _RAKU_chı _2_RAKU_aıchı _ARITY_2	hó	sI	2
▯ is a non finite verb _BIAS _RAKU_toa _2_RAKU_faqtoa _ARITY_1	hóq	sI	1
▯ is a costume _BIAS _RAKU_fuq _2_RAKU_aıfuq _ARITY_1	máq	sI	1
▯ dresses up as dresses like ▯ _BIAS _RAKU_geı _2_RAKU_aıgeı _ARITY_2	hó	sA	2
▯ is a theme a recurring idea or subject of ▯ _BIAS _RAKU_he _2_RAKU_aıhe _ARITY_2	hóq	sI	2
▯ feels different from ▯ subjectively _BIAS _RAKU_heo _2_RAKU_aıheo _ARITY_2	tá	sF	2
what is ▯ like what impressions vibes does ▯ give off _BIAS _RAKU_hıa _2_RAKU_aıhıa _ARITY_2	tá	sF	2
▯ gets ▯ to satisfy property ▯ _BIAS _RAKU_ja _2_RAKU_aıja _ARITY_3	hó	sA	3
▯ feels dissimilar from ▯ subjectively _BIAS _RAKU_jao _2_RAKU_aıjao _ARITY_2	tá	sF	2
▯ feels the same as ▯ subjectively _BIAS _RAKU_jeq _2_RAKU_aıjeq _ARITY_2	tá	sF	2
▯ feels similar to ▯ subjectively _BIAS _RAKU_juı _2_RAKU_aıjuı _ARITY_2	tá	sF	2
▯ is alcohol _BIAS _RAKU_ko _2_RAKU_aıko _ARITY_1	máq	sI	1
▯ sort of does is ▯ the property that ▯ satisfies is similar to property ▯ _BIAS _RAKU_la _2_RAKU_aıla _ARITY_2	tá	sF	2
▯ is a derani falling diphthong mark _BIAS _RAKU_laı _2_RAKU_aılaı _ARITY_1	máq	sI	1
▯ satisfies distinguishing unique essential property ▯ ▯ satisfies propert ies ▯ which are what makes them them as opposed to others e g personality wise _BIAS _RAKU_leı _2_RAKU_aıleı _ARITY_2	tá	sF	2
▯ is the aymara language _BIAS _RAKU_zu _2_RAKU_razu _ARITY_1 _CAPS	hóq	sI	1
▯ is not the case _BIAS _RAKU_aım _ARITY_1	hóq	sP	1
▯ is contrarian in general _BIAS _RAKU_lam _2_RAKU_aımlam _ARITY_1	hó	sI	1
▯ is being contrarian by doing ▯ _BIAS _RAKU_tao _2_RAKU_aımtao _ARITY_2	hó	sA	2
▯ is a doll _BIAS _RAKU_paı _2_RAKU_aıpaı _ARITY_1	máq	sI	1
▯ is a faerie fairy an elf or an imp or a brownie in the spirit of aıpū but with an ī because i find it cuter _BIAS _RAKU_pı _2_RAKU_aıpı _ARITY_1	hó	sI	1
▯ is a ghost spirit _BIAS _RAKU_pu _2_RAKU_aıpu _ARITY_1	hó	sI	1
▯ is a ghost spirit _BIAS _RAKU_pu _2_RAKU_aıpu _ARITY_1	hó	sI	1
▯ is a synonym _BIAS _RAKU_toa _2_RAKU_aıtoa _ARITY_1	hóq	sI	1
▯ is an archer _BIAS _RAKU_che _2_RAKU_jıche _ARITY_1	hó	sI	1
▯ is a crossbow _BIAS _RAKU_kea _2_RAKU_jıkea _ARITY_1	máq	sI	1
▯ is an a4 sheet of paper _BIAS _RAKU_boe _2_RAKU_joboe _ARITY_1	máq	sI	1
▯ is a root of a plant _BIAS _RAKU_ka _2_RAKU_aka _ARITY_1	máq	sI	1
▯ is a root of plant ▯ _BIAS _RAKU_ka _2_RAKU_aka _ARITY_2	máq	sI	2
▯ is an acacia tree _BIAS _RAKU_cıa _2_RAKU_kacıa _ARITY_1	máq	sI	1
▯ is a tuber potato beetroot _BIAS _RAKU_hua _2_RAKU_kahua _ARITY_1	máq	sI	1
▯ is soreness subconcept of noı _BIAS _RAKU_kaı _2_RAKU_akaı _ARITY_1	hóq	sI	1
▯ is a tuber potato beetroot _BIAS _RAKU_zeo _2_RAKU_kazeo _ARITY_1	máq	sI	1
▯ is active awake on engaged _BIAS _RAKU_kım _2_RAKU_akım _ARITY_1	tá	sI	1
▯ is bloody gory akira red _BIAS _RAKU_kıa _2_RAKU_rakıa _ARITY_1	tá	sI	1
▯ is a crab _BIAS _RAKU_ka _2_RAKU_koka _ARITY_1	hó	sI	1
▯ is a parietal bone _BIAS _RAKU_kuoq _2_RAKU_kokuoq _ARITY_1	máq	sI	1
▯ is a keystone _BIAS _RAKU_lıeq _2_RAKU_kolıeq _ARITY_1	máq	sI	1
▯ is an alga _BIAS _RAKU_laı _2_RAKU_alaı _ARITY_1	máq	sI	1
▯ is a beam girder _BIAS _RAKU_laq _2_RAKU_alaq _ARITY_1	máq	sI	1
▯ is clockwise _BIAS _RAKU_lıo _2_RAKU_alıo _ARITY_1	tá	sS	1
▯ is alice in wonderland like _BIAS _RAKU_sı _2_RAKU_lısı _ARITY_1	tá	sF	1
▯ is an allium garlic onion etc _BIAS _RAKU_lıu _2_RAKU_alıu _ARITY_1	máq	sI	1
▯ is allistic _BIAS _RAKU_lom _2_RAKU_alom _ARITY_1	hó	sI	1
▯ is a crackhead conspiracy theorist _BIAS _RAKU_che _2_RAKU_boeche _ARITY_1	hó	sI	1
▯ is aluminum aluminium _BIAS _RAKU_lum _2_RAKU_alum _ARITY_1	máq	sI	1
▯ is ours 1st 2nd 3rd person _BIAS _RAKU_bo _2_RAKU_ambo _ARITY_1	tá	sF	1
▯ is the amharic language _BIAS _RAKU_zu _2_RAKU_razu _ARITY_1 _CAPS	hóq	sI	1
▯ pertains to the culture of armenia republic of armenia _BIAS _RAKU_nıa _2_RAKU_amnıa _ARITY_1 _CAPS	tá	sF	1
▯ is the country armenia republic of armenia _BIAS _RAKU_gua _2_RAKU_nıagua _ARITY_1 _CAPS	máq	sI	1
▯ is america continent _BIAS _RAKU_ka _2_RAKU_rıka _ARITY_1 _CAPS	máq	sI	1
▯ is easy to chew _BIAS _RAKU_gı _2_RAKU_amgı _ARITY_1	tá	sI	1
▯ is a darling sweetheart sweetie honey term of endearment used by people close to one another _BIAS _RAKU_nı _2_RAKU_amnı _ARITY_1	hó	sI	1
▯ is hungry _BIAS _RAKU_kuaı _2_RAKU_amkuaı _ARITY_1	hó	sI	1
▯ noms chomps ▯ _BIAS _RAKU_la _2_RAKU_amla _ARITY_2	hó	sA	2
▯ action is devious mischievous sly _BIAS _RAKU_ra _2_RAKU_amra _ARITY_1	tá	sE	1
▯ agent is devious mischievous sly in character _BIAS _RAKU_lam _2_RAKU_ralam _ARITY_1	hó	sA	1
▯ is absinthe _BIAS _RAKU_seq _2_RAKU_amseq _ARITY_1	máq	sI	1
▯ is a discrete physical object item thing _BIAS _RAKU_am _ARITY_1	máq	sI	1
▯ is the inari sami language _BIAS _RAKU_zu _2_RAKU_samzu _ARITY_1 _CAPS	hóq	sI	1
▯ is anatolia _BIAS _RAKU_rıaq _2_RAKU_torıaq _ARITY_1 _CAPS	máq	sI	1
▯ is sand _BIAS _RAKU_nı _2_RAKU_anı _ARITY_1	máq	sI	1
▯ is sand _BIAS _RAKU_nı _2_RAKU_anı _ARITY_1	máq	sI	1
▯ has a fine texture _BIAS _RAKU_goaq _2_RAKU_nıgoaq _ARITY_1	tá	sI	1
▯ is a desert _BIAS _RAKU_guaq _2_RAKU_nıguaq _ARITY_1	máq	sI	1
▯ is a sandwhich _BIAS _RAKU_hı _2_RAKU_nıhı _ARITY_1	máq	sI	1
▯ is a silly faux calcque word _BIAS _RAKU_toa _2_RAKU_hıtoa _ARITY_1	hóq	sI	1
▯ is a sandwitch _BIAS _RAKU_he _2_RAKU_rahe _ARITY_1	máq	sI	1
▯ is a sand castle _BIAS _RAKU_jıo _2_RAKU_nıjıo _ARITY_1	máq	sI	1
▯ is a pound cake _BIAS _RAKU_ke _2_RAKU_keıke _ARITY_1	máq	sI	1
▯ is anhemology the study of the rules of bloodless _BIAS _RAKU_jı _2_RAKU_lojı _ARITY_1	hóq	sI	1
▯ is a beach _BIAS _RAKU_neaq _2_RAKU_nıneaq _ARITY_1	máq	sI	1
▯ is sandstone _BIAS _RAKU_pıo _2_RAKU_nıpıo _ARITY_1	máq	sI	1
▯ is a beach _BIAS _RAKU_rea _2_RAKU_nırea _ARITY_1	máq	sI	1
▯ loves ▯ romantically _BIAS _RAKU_no _2_RAKU_ano _ARITY_2	hó	sI	2
▯ is valentine s day _BIAS _RAKU_chaq _2_RAKU_nochaq _ARITY_1	hóq	sI	1
▯ is a nuclear bomb nuke _BIAS _RAKU_ke _2_RAKU_noke _ARITY_1	máq	sI	1
▯ romantically crushes on ▯ _BIAS _RAKU_kuaı _2_RAKU_nokuaı _ARITY_2	hó	sI	2
▯ is an edible fruit of the annona genus ▯ is a custard apple sugar apple sweetsop _BIAS _RAKU_noq _2_RAKU_anoq _ARITY_2	máq	sI	2
▯ love panics feels lonely and miserable and despairs as to whether they ll ever find love _BIAS _RAKU_deı _2_RAKU_'ıdeı _ARITY_1	hó	sI	1
▯ is wacky zany cartoonish _BIAS _RAKU_nhaı _2_RAKU_anhaı _ARITY_1	tá	sF	1
▯ bumps stumbles into ▯ _BIAS _RAKU_nho _2_RAKU_anho _ARITY_2	hó	sA	2
▯ is imaginary made up fictional _BIAS _RAKU_bı _2_RAKU_aobı _ARITY_1	tá	sF	1
▯ is one s imagination _BIAS _RAKU_chu _2_RAKU_bıchu _ARITY_1	hóq	sI	1
▯ hallucinates ▯ _BIAS _RAKU_gaı _2_RAKU_bıgaı _ARITY_2	hó	sI	2
▯ says lie ▯ to ▯ _BIAS _RAKU_kuq _2_RAKU_bıkuq _ARITY_3	hó	sA	3
▯ is a fictional story _BIAS _RAKU_lua _2_RAKU_bılua _ARITY_1	hóq	sF	1
▯ is dadaistic ▯ is absurdly funny _BIAS _RAKU_luaı _2_RAKU_bıluaı _ARITY_1	tá	sF	1
▯ purports fictitiously asserts ▯ to be the case _BIAS _RAKU_ruaq _2_RAKU_bıruaq _ARITY_2	hó	sA	2
▯ is a fictional language _BIAS _RAKU_zu _2_RAKU_bızu _ARITY_1	hóq	sI	1
▯ takes place in such a manner as if ▯ were the case _BIAS _RAKU_cha _2_RAKU_aocha _ARITY_2	hóq	sE	2
▯ is an alpha the letter α _BIAS _RAKU_laı _2_RAKU_falaı _ARITY_1	máq	sI	1
▯ pertains to toaq alpha _BIAS _RAKU_toaq _2_RAKU_fatoaq _ARITY_1 _CAPS	tá	sF	1
what if ▯ were the case _BIAS _RAKU_hıa _2_RAKU_aohıa _ARITY_1	hóq	sP	1
▯ is detached dissociated distant feels insentient _BIAS _RAKU_ja _2_RAKU_aoja _ARITY_1	hó	sI	1
▯ wants ▯ to be the case _BIAS _RAKU_jaı _2_RAKU_aojaı _ARITY_2	hó	sI	2
▯ is the hypothetical world where ▯ is the case _BIAS _RAKU_jıaq _2_RAKU_aojıaq _ARITY_2	hóq	sI	2
▯ is fantastical outlandish other worldly bizarre _BIAS _RAKU_jua _2_RAKU_aojua _ARITY_1	tá	sF	1
▯ is an island _BIAS _RAKU_aom _ARITY_1	máq	sI	1
▯ is an island _BIAS _RAKU_aom _ARITY_1	máq	sI	1
▯ comes to ▯ _BIAS _RAKU_na _2_RAKU_aona _ARITY_2	tá	sS	2
▯ is the case according to textual medium ▯ ▯ is true in universe _BIAS _RAKU_no _2_RAKU_aono _ARITY_2	hóq	sP	2
▯ depersonalizes has an out of body experience _BIAS _RAKU_pu _2_RAKU_aopu _ARITY_1	hó	sI	1
▯ is a bamboo plant _BIAS _RAKU_ro _2_RAKU_aoro _ARITY_1	máq	sI	1
▯ wishes ▯ were the case but it isn t _BIAS _RAKU_shao _2_RAKU_aoshao _ARITY_2	hó	sI	2
▯ fears that ▯ would be the case _BIAS _RAKU_tea _2_RAKU_aotea _ARITY_2	hó	sI	2
▯ pertains to the culture of new zealand _BIAS _RAKU_roa _2_RAKU_tearoa _ARITY_1 _CAPS	tá	sF	1
▯ is the country new zealand _BIAS _RAKU_gua _2_RAKU_roagua _ARITY_1 _CAPS	máq	sI	1
▯ has autism _BIAS _RAKU_tom _2_RAKU_aotom _ARITY_1	hó	sI	1
▯ is a bee _BIAS _RAKU_pı _2_RAKU_apı _ARITY_1	hó	sI	1
▯ is a beehive _BIAS _RAKU_bue _2_RAKU_pıbue _ARITY_1	máq	sI	1
▯ is a hop plant the plant used to brew beer _BIAS _RAKU_nı _2_RAKU_pını _ARITY_1	máq	sI	1
▯ is the letter a _BIAS _RAKU_nı _2_RAKU_'anı _ARITY_1	hóq	sI	1
▯ is the letter q _BIAS _RAKU_'aq _2_RAKU_aq'aq _ARITY_1	hóq	sI	1
▯ is oneself s of the subject of the sentence _BIAS _RAKU_bo _2_RAKU_aqbo _ARITY_1	tá	sF	1
▯ happens in the manner and to the degree that it happens _BIAS _RAKU_cha _2_RAKU_aqcha _ARITY_1	hóq	sE	1
▯ is andesite _BIAS _RAKU_pıo _2_RAKU_depıo _ARITY_1	máq	sI	1
▯ pertains to the culture of andorra principality of andorra _BIAS _RAKU_ra _2_RAKU_dora _ARITY_1 _CAPS	tá	sF	1
▯ is the country andorra principality of andorra _BIAS _RAKU_gua _2_RAKU_ragua _ARITY_1 _CAPS	máq	sI	1
▯ plays physical sport ▯ _BIAS _RAKU_du _2_RAKU_aqdu _ARITY_2	hó	sA	2
▯ pertains to the culture of angola republic of angola _BIAS _RAKU_la _2_RAKU_gola _ARITY_1 _CAPS	tá	sF	1
▯ is the country angola republic of angola _BIAS _RAKU_gua _2_RAKU_lagua _ARITY_1 _CAPS	máq	sI	1
▯ motivates themself works up the energy or courage to satisfy property ▯ _BIAS _RAKU_ja _2_RAKU_aqja _ARITY_2	hó	sA	2
▯ is self motivation energy courage _BIAS _RAKU_na _2_RAKU_jamna _ARITY_1	hóq	sI	1
▯ is the letter q when it s used for a plosive _BIAS _RAKU_kuaq _2_RAKU_aqkuaq _ARITY_1	hóq	sI	1
▯ experiences property ▯ for themselves rather than it happening to other people _BIAS _RAKU_lıe _2_RAKU_aqlıe _ARITY_2	hó	sI	2
▯ is anglish english without romance language borrowings _BIAS _RAKU_zu _2_RAKU_lızu _ARITY_1 _CAPS	hóq	sI	1
▯ is the collection of meaning making and life experiences that one has _BIAS _RAKU_lua _2_RAKU_aqlua _ARITY_1	hóq	sF	1
▯ is a noun form _BIAS _RAKU_mı _2_RAKU_aqmı _ARITY_1	hóq	sI	1
▯ introspects ruminates self reflects soul searches navel gazes _BIAS _RAKU_moı _2_RAKU_aqmoı _ARITY_1	hó	sI	1
▯ swears to themselves that they satisfy property ▯ ▯ holds themselves accountable in satisfying property ▯ _BIAS _RAKU_nue _2_RAKU_aqnue _ARITY_2	hó	sI	2
▯ intends to do ▯ ▯ is committed to satisfying property ▯ now or in the future _BIAS _RAKU_nha _2_RAKU_aqnha _ARITY_2	hó	sA	2
▯ is the apl programming language _BIAS _RAKU_zu _2_RAKU_laozu _ARITY_1	hóq	sI	1
▯ is a donkey ass equus africanus asinus _BIAS _RAKU_she _2_RAKU_aqshe _ARITY_1	hó	sI	1
▯ is a donkey _BIAS _RAKU_she _2_RAKU_aqshe _ARITY_1	hó	sI	1
▯ is a mule _BIAS _RAKU_bo _2_RAKU_kebo _ARITY_1	hó	sI	1
▯ satisfies property ▯ in the manner to the degree that it does _BIAS _RAKU_taq _2_RAKU_aqtaq _ARITY_2	tá	sF	2
▯ pertains to the culture of antigua and barbuda _BIAS _RAKU_da _2_RAKU_buda _ARITY_1 _CAPS	tá	sF	1
▯ is the country antigua and barbuda _BIAS _RAKU_gua _2_RAKU_dagua _ARITY_1 _CAPS	máq	sI	1
▯ is the arabic language _BIAS _RAKU_zu _2_RAKU_bızu _ARITY_1 _CAPS	hóq	sI	1
▯ is a physical object _BIAS _RAKU_raı _2_RAKU_araı _ARITY_1	máq	sI	1
▯ orgasms _BIAS _RAKU_shı _2_RAKU_ramshı _ARITY_1	hó	sI	1
▯ is a spider _BIAS _RAKU_ne _2_RAKU_rane _ARITY_1	hó	sI	1
▯ does whatever a spider pig does _BIAS _RAKU_hu _2_RAKU_suhu _ARITY_1	hó	sI	1
▯ pertains to the culture of argentina argentine republic g _BIAS _RAKU_na _2_RAKU_tına _ARITY_1 _CAPS	tá	sF	1
▯ is the country argentina argentine republic g _BIAS _RAKU_gua _2_RAKU_nagua _ARITY_1 _CAPS	máq	sI	1
▯ saves on ▯ resource not used up _BIAS _RAKU_rıeq _2_RAKU_arıeq _ARITY_2	hó	sI	2
▯ is extremely sleepy to the point that they almost can t open their eyelids but can t fall asleep at all _BIAS _RAKU_buoı _2_RAKU_sabuoı _ARITY_1	hó	sI	1
▯ is dirt soil _BIAS _RAKU_saı _2_RAKU_asaı _ARITY_1	máq	sI	1
▯ is the planet saturn _BIAS _RAKU_saım _2_RAKU_asaım _ARITY_1	máq	sI	1
▯ is a vegetable _BIAS _RAKU_zeo _2_RAKU_saızeo _ARITY_1	máq	sI	1
▯ is arsenic _BIAS _RAKU_nı _2_RAKU_senı _ARITY_1	máq	sI	1
what s worse ▯ is the case to add insult to injury ▯ is the case _BIAS _RAKU_sı _2_RAKU_ası _ARITY_1	hóq	sP	1
▯ is asia _BIAS _RAKU_sıa _2_RAKU_asıa _ARITY_1 _CAPS	máq	sI	1
▯ is counterclockwise widdershins _BIAS _RAKU_sıaq _2_RAKU_asıaq _ARITY_1	tá	sS	1
▯ shows flaw hunting nitpicking behavior by pointing out that ▯ is the case ▯ in pointing out ▯ tries to convince one that things are not as good as they seem _BIAS _RAKU_la _2_RAKU_sıla _ARITY_2	hó	sA	2
▯ is a pawpaw _BIAS _RAKU_zeo _2_RAKU_sımzeo _ARITY_1	máq	sI	1
▯ means to say holds in their mind the meaning ▯ _BIAS _RAKU_so _2_RAKU_aso _ARITY_2	hó	sI	2
▯ agent insinuates implies hints at gets at ▯ meaning _BIAS _RAKU_la _2_RAKU_sola _ARITY_2	hó	sA	2
▯ is a dog _BIAS _RAKU_su _2_RAKU_asu _ARITY_1	hó	sI	1
▯ pertains to abkhaz culture _BIAS _RAKU_sua _2_RAKU_asua _ARITY_1 _CAPS	tá	sF	1
▯ is the abkhaz language _BIAS _RAKU_zu _2_RAKU_suazu _ARITY_1 _CAPS	hóq	sI	1
▯ chooses between options ▯ _BIAS _RAKU_sum _2_RAKU_asum _ARITY_2	hó	sA	2
▯ is mud _BIAS _RAKU_sham _2_RAKU_asham _ARITY_1	máq	sI	1
▯ is mudrock _BIAS _RAKU_pıo _2_RAKU_shampıo _ARITY_1	máq	sI	1
▯ is modal logic _BIAS _RAKU_dıu _2_RAKU_daıdıu _ARITY_1	hóq	sI	1
▯ is the letter æ _BIAS _RAKU_laı _2_RAKU_shelaı _ARITY_1	hóq	sI	1
▯ turns on activates starts up _BIAS _RAKU_sho _2_RAKU_tısho _ARITY_1	tá	sI	1
▯ is a nuclear power plant _BIAS _RAKU_rıaq _2_RAKU_shuaqrıaq _ARITY_1	máq	sI	1
▯ is the aꝡaereusso language _BIAS _RAKU_zu _2_RAKU_shozu _ARITY_1 _CAPS	hóq	sI	1
▯ is crunchy crispy _BIAS _RAKU_za _2_RAKU_aza _ARITY_1	tá	sI	1
▯ experiences the sensation of biting into something that they expect to be ▯ but it being ▯ instead _BIAS _RAKU_zo _2_RAKU_zazo _ARITY_3	hó	sI	3
▯ experiences the sensation of biting into something that they expect to be crunchy but it being squishy instead _BIAS _RAKU_zo _2_RAKU_zazo _ARITY_1	hó	sI	1
▯ pertains to the culture of azerbaijan republic of azerbaijan _BIAS _RAKU_baı _2_RAKU_zebaı _ARITY_1 _CAPS	tá	sF	1
▯ is the country azerbaijan republic of azerbaijan _BIAS _RAKU_gua _2_RAKU_baıgua _ARITY_1 _CAPS	máq	sI	1
▯ is the country of azerbaijan _BIAS _RAKU_gua _2_RAKU_rıgua _ARITY_1 _CAPS	máq	sI	1
▯ is the azeri azerbaijani language _BIAS _RAKU_zu _2_RAKU_rızu _ARITY_1 _CAPS	hóq	sI	1
▯ is a predilex sememe id _BIAS _RAKU_ba _2_RAKU_baba _ARITY_1	hóq	sI	1
▯ pertains to the culture of barbados _BIAS _RAKU_do _2_RAKU_bado _ARITY_1 _CAPS	tá	sF	1
▯ is the country barbados _BIAS _RAKU_gua _2_RAKU_dogua _ARITY_1 _CAPS	máq	sI	1
▯ is a member of genus papio the baboons _BIAS _RAKU_bue _2_RAKU_babue _ARITY_1	hó	sI	1
▯ unsuccessfully pulls ▯ failing to move accelerate the latter _BIAS _RAKU_buaq _2_RAKU_gabuaq _ARITY_2	hó	sA	2
▯ is a pulley _BIAS _RAKU_sıoq _2_RAKU_gasıoq _ARITY_1	máq	sI	1
▯ pertains to the culture of the bahamas bahamas the _BIAS _RAKU_ham _2_RAKU_baham _ARITY_1 _CAPS	tá	sF	1
▯ is the country the bahamas bahamas the _BIAS _RAKU_gua _2_RAKU_hamgua _ARITY_1 _CAPS	máq	sI	1
▯ builds assembles makes ▯ _BIAS _RAKU_baı _ARITY_2	hó	sA	2
▯ is a craftsman artisan _BIAS _RAKU_che _2_RAKU_baıche _ARITY_1	hó	sI	1
▯ is technology _BIAS _RAKU_dıu _2_RAKU_baıdıu _ARITY_1	hóq	sI	1
▯ publishes posts releases ▯ putting it out there for others to view it _BIAS _RAKU_do _2_RAKU_baıdo _ARITY_2	hó	sA	2
▯ is an analytic verb _BIAS _RAKU_toa _2_RAKU_faqtoa _ARITY_1	hóq	sI	1
▯ is a mason _BIAS _RAKU_che _2_RAKU_gamche _ARITY_1	hó	sI	1
▯ is a canal artificial river _BIAS _RAKU_hıu _2_RAKU_baıhıu _ARITY_1	máq	sI	1
